Acquired Medium google / others,C Ity,Reg at date,Uninstall Date,Usage Days (bin),User ID,Notification Dismiss,Notification Open,Notification Receive,Quiz Count,Session Count,Share Count,Uninstalled,Usage Time,Usertime,Video Count
Normal,,,11/15/2018,,2416,12,1,13,0,1,,,,857.814,4
Normal,,,,,2417,29,1,33,0,6,,,,1240.28,0
Normal,,11/26/2018,,,2418,,,,0,1,1,,,2498.782,12
Normal,,,10/17/2018,,2419,,,,0,,,,,82.238,0
Normal,,,,,2420,,,,3,33,,,,4550.116,2
Normal,,,12/9/2018,,2421,,,,4,6,,,,1140.113,0
Normal,,,10/19/2018,,2422,1,,1,0,2,,,,472.193,0
Normal,,,,,2423,85,,66,0,8,,,,1229.534,0
Normal,,,,,2424,9,,9,0,3,,,,264.19,0
Normal,,,12/20/2018,,2425,43,1,45,0,4,,,,242.303,0
Normal,,,10/18/2018,,2426,,,,0,,,,,236.981,0
Normal,Mumbai,7/23/2019,10/10/2019,56,2427,,,,7,19,,1,79,4697.762,9
Normal,,,,,2428,,,2,0,1,,,,325.18,0
Normal,Mumbai,12/17/2018,11/5/2018,-56,2429,297,6,396,10,17,1,0,-42,3637.282,19
Normal,,,10/23/2018,,2430,,,,0,1,,,,140.712,0
Normal,,11/27/2018,12/26/2018,28,2431,43,1,51,9,13,1,1,29,3119.087,5
Normal,,12/30/2018,4/25/2019,112,2432,94,4,143,58,33,7,1,116,14314.836,32
Normal,,,5/4/2019,,2434,13,,16,4,4,,,,1861.573,9
Normal,,,10/17/2018,,2435,,,,0,2,,,,659.105,0
Normal,,,10/21/2018,,2436,1,,1,0,2,,,,196.984,0
Normal,,,10/25/2018,,2437,1,,1,4,1,,,,2786.622,9
Normal,,11/27/2018,2/16/2019,56,2438,,,,56,31,11,1,81,8994.535,30
Normal,,,,,2439,3,,4,5,6,,,,2529.965,6
Normal,,,11/14/2018,,2440,10,,12,0,,,,,96.379,0
Normal,,,,,2441,,,,3,3,,,,123.858,0
Normal,,,11/29/2018,,2442,13,5,24,0,9,,,,1239.779,1
Normal,,,10/27/2018,,2443,,,,0,,,,,149.168,0
Normal,,11/27/2018,1/29/2019,56,2444,,,2,4,10,,1,63,1740.017,7
Normal,,,,,2445,,,,0,2,,,,245.843,0
Normal,,,10/20/2018,,2446,1,,1,0,,,,,91.875,0
Normal,,1/17/2019,10/17/2018,-112,2447,,,,22,2,,0,-92,1369.965,0
Normal,,,2/15/2019,,2449,,,,1,2,,,,556.534,1
Normal,,,11/4/2018,,2450,5,,6,0,5,,,,364.77,0
Normal,,11/27/2018,10/21/2018,-56,2452,68,2,73,69,55,1,0,-37,12928.785,23
Normal,,,10/22/2018,,2454,,,,0,4,2,,,520.667,0
Normal,,1/12/2019,1/22/2019,0,2455,3,,12,17,3,,1,10,1476.885,6
Normal,,,12/15/2018,,2457,,,,0,,,,,142.669,0
Normal,,,2/2/2019,,2458,93,,93,5,1,,,,1767.276,10
Normal,,,,,2461,132,,194,5,9,,,,2857.969,11
Normal,,,,,2462,,,,4,4,,,,2000.371,9
Normal,,,3/11/2019,,2463,,,,0,15,,,,2751.068,9
Normal,,,11/2/2018,,2465,6,,6,0,,,,,387.48,0
Normal,,11/27/2018,11/29/2018,0,2468,18,1,19,5,10,,1,2,2503.627,10
Normal,,,10/20/2018,,2469,,,,0,1,,,,328.045,1
Normal,Mumbai,12/25/2018,2/22/2019,56,2470,5,,6,70,9,4,1,59,7325.495,23
Normal,,,,,2471,2,,5,0,1,,,,261.199,0
Normal,Mumbai,1/19/2019,10/6/2019,253,2472,1,,2,70,20,5,1,260,6733.584,25
Normal,Mumbai,12/7/2018,,,2473,46,3,58,29,12,4,,,4237.156,20
Normal,,,10/26/2018,,2474,,,,1,,,,,332.622,0
Normal,,,11/3/2018,,2475,,,,0,4,,,,336.595,0
Normal,,,1/13/2019,,2476,,,,0,3,,,,2094.66,12
Normal,,,,,2477,,,2,20,2,,,,819.632,0
Normal,,1/30/2019,1/30/2019,0,2478,,,1,24,1,4,0,0,2498.73,1
Normal,,1/31/2019,,,2479,,,,22,1,,,,278.804,0
Normal,,2/5/2019,,,2481,81,2,79,22,3,,,,806.851,0
Normal,,,10/18/2018,,2482,,,,0,2,,,,306.582,0
Normal,,1/18/2019,,,2483,38,3,43,53,26,7,,,24894.004,21
Normal,,,10/23/2018,,2484,,,,0,1,,,,1841.866,2
Normal,,12/22/2018,10/25/2018,-84,2485,,,1,24,4,1,0,-58,2125.612,3
Normal,,,11/13/2018,,2486,10,,7,0,2,,,,919.698,5
Normal,,,10/25/2018,,2487,,,,0,2,,,,792.481,2
Normal,,,10/23/2018,,2488,,,,0,,,,,213.475,0
Normal,,,12/16/2018,,2489,40,,40,0,1,,,,962.898,2
Normal,,,,,2490,5,,4,5,8,,,,1014.704,1
Normal,,,11/5/2018,,2491,5,,5,0,6,,,,1812.442,4
Normal,,,11/13/2018,,2492,11,,10,6,8,,,,2780.75,12
Normal,,,1/22/2019,,2494,,,1,5,15,,,,3637.874,11
Normal,,12/22/2018,1/31/2019,28,2495,13,,14,26,15,,1,40,4097.058,3
Normal,,,,,2496,2,,2,5,4,,,,1822.281,11
Normal,,,11/17/2018,,2497,14,1,15,5,5,,,,1717.646,8
Normal,,11/22/2018,,,2500,12,11,23,17,41,2,,,5769.486,0
Normal,,1/10/2019,1/19/2019,0,2501,,,,42,1,,1,9,1962.502,15
Normal,,,,,2502,77,1,86,0,3,,,,283.292,1
Normal,,12/8/2018,,,2504,,,,9,9,,,,3487.852,14
Normal,,,12/8/2018,,2506,22,1,24,0,3,,,,401.033,0
Normal,Mumbai,1/26/2019,5/19/2019,112,2507,,,2,40,14,1,1,113,4459.129,17
Normal,,11/28/2018,11/28/2018,0,2508,,,,2,10,,0,0,3449.197,13
Normal,Mumbai,1/12/2019,5/18/2019,112,2509,,1,1,64,27,,1,126,6241.791,20
Normal,,11/22/2018,2/5/2019,56,2510,14,,16,66,55,3,1,75,12370.501,35
Normal,,11/22/2018,,,2511,,,,1,8,,,,3494.872,11
Normal,,,1/9/2019,,2512,,,1,0,2,,,,1328.667,3
Normal,,,10/22/2018,,2513,,,,0,2,,,,542.8,1
Normal,,,,,2514,64,,59,0,5,,,,2454.251,7
Normal,,,11/1/2018,,2515,1,,2,4,3,,,,914.726,3
Normal,,,10/26/2018,,2517,1,,1,0,2,,,,342.631,0
Normal,,,10/21/2018,,2518,,,,0,1,,,,579.306,2
Normal,,11/22/2018,12/27/2018,28,2519,25,1,37,14,12,,1,35,4702.527,14
Normal,,11/26/2018,1/5/2019,28,2520,22,11,44,40,41,17,1,40,11570.727,26
Normal,,,11/4/2018,,2522,,,,0,1,,,,535.696,1
Normal,,12/30/2018,,,2523,106,3,112,51,41,9,,,13728.264,30
Normal,,,5/8/2019,,2524,157,2,159,0,12,,,,3063.617,1
Normal,Mumbai,1/2/2019,4/17/2019,84,2525,77,2,79,38,20,1,1,105,8796.058,31
Normal,,2/2/2019,12/9/2018,-56,2526,,,,38,3,,0,-55,1957.47,7
Normal,,1/13/2019,1/21/2019,0,2527,70,4,74,2,12,,1,8,2932.619,12
Normal,,,11/16/2018,,2528,14,,15,2,9,,,,2964.779,13
Normal,,,10/25/2018,,2529,1,,1,4,5,,,,973.001,1
Normal,,,1/3/2019,,2530,57,,57,0,,,,,185.399,0
Normal,Mumbai,11/23/2018,5/23/2019,169,2531,30,2,38,35,55,8,1,181,11326.256,27
Normal,,11/27/2018,,,2532,,,53,1,7,,,,1552.909,5
Normal,Mumbai,1/4/2019,10/22/2018,-84,2533,2,1,18,45,11,1,0,-74,4245.151,17
Normal,,,11/17/2018,,2534,11,,9,11,6,7,,,3938.901,14
Normal,,,,,2535,43,1,59,0,1,,,,665.889,1
Normal,,11/24/2018,,,2537,138,2,148,0,12,,,,1506.893,6
Normal,,,10/22/2018,,2538,,,,0,1,,,,769.979,0
Normal,,12/30/2018,12/30/2018,0,2539,,,,4,,,0,0,179.006,0
Normal,,,10/28/2018,,2540,,,,0,1,,,,109.068,0
Normal,,,11/29/2018,,2542,23,1,25,0,5,,,,588.256,1
Normal,,,10/29/2018,,2543,1,,1,0,1,,,,255.88,0
Normal,,,11/3/2018,,2545,5,,5,0,4,,,,710.03,2
Normal,,,,,2546,144,1,159,0,6,,,,469.024,0
Normal,,,12/20/2018,,2547,9,,9,0,2,,,,896.545,0
Normal,,,10/26/2018,,2548,1,,2,0,1,,,,273.68,0
Normal,Mumbai,5/16/2019,7/13/2019,56,2549,74,14,119,15,34,,1,58,7426.241,11
Normal,,,10/23/2018,,2550,,,,0,,,,,208.074,0
Normal,,11/22/2018,3/7/2019,84,2551,68,1,73,60,178,33,1,105,33167.724,38
Normal,Mumbai,1/4/2019,4/12/2019,84,2552,126,5,139,64,37,1,1,98,11452.982,31
Normal,,,,,2555,,,,0,3,,,,323.874,0
Normal,,,11/20/2018,,2556,,,,0,2,,,,812.686,0
Normal,,,10/25/2019,,2557,425,3,453,0,4,,,,319.801,0
Normal,Mumbai,11/26/2018,3/12/2019,84,2558,5,5,18,88,101,3,1,106,20719.738,42
Normal,,,,,2560,,,,0,,,,,1.317,0
Normal,,,10/23/2018,,2561,,,,1,,,,,1835.397,5
Normal,,1/19/2019,2/17/2019,28,2562,21,,16,49,7,,1,29,1712.082,1
Normal,,,,,2564,235,10,248,0,4,,,,1027.841,3
Normal,,12/3/2018,3/20/2019,84,2565,38,2,46,26,31,6,1,107,6153.153,24
Normal,,,,,2566,42,2,46,0,5,,,,647.191,0
Normal,Mumbai,1/31/2019,2/14/2019,0,2567,,,,60,14,,1,14,4253.972,5
Normal,,,11/4/2018,,2568,,,,5,2,,,,1191.011,5
Normal,,,10/23/2018,,2569,,,,0,1,,,,232.706,0
Normal,,,4/26/2019,,2570,134,2,136,0,4,,,,651.809,0
Normal,,1/29/2019,12/20/2018,-56,2573,,,2,16,29,,0,-40,11083.766,17
Normal,,,10/27/2018,,2574,,,,4,4,,,,2192.774,10
Normal,,,10/24/2018,,2575,1,,1,0,,,,,216.078,0
Normal,,11/30/2018,12/20/2018,0,2576,,,,10,12,,1,20,2985.064,8
Normal,Mumbai,11/22/2018,1/12/2019,28,2577,40,2,45,38,87,24,1,51,14581.776,23
Normal,,11/23/2018,10/28/2018,-28,2578,2,,2,14,22,3,0,-26,5250.767,13
Normal,,,12/10/2018,,2579,34,,35,0,5,,,,739.809,0
Normal,,,12/24/2018,,2580,49,,48,0,2,,,,377.328,0
Normal,,,11/26/2018,,2581,,,,0,2,,,,1134.01,6
Normal,,,,,2582,10,,12,5,18,,,,3628.848,7
Normal,,12/16/2018,2/9/2019,28,2583,,,,0,1,,1,55,1837.072,7
Normal,,,11/22/2018,,2584,,,,11,11,4,,,6114.646,0
Normal,,,,,2585,13,1,19,0,6,,,,1821.9,2
Normal,,,10/30/2018,,2586,3,,4,0,1,,,,726.526,2
Normal,,,10/28/2018,,2587,2,,2,0,1,,,,360.114,0
Normal,,,11/6/2018,,2588,,,,6,10,,,,3383.181,12
Normal,Mumbai,12/27/2018,2/13/2019,28,2589,,,,6,1,1,1,48,1286.558,3
Normal,,,,,2590,,,,0,2,,,,600.151,0
Normal,,,1/15/2019,,2591,,,,1,4,,,,770.836,2
Normal,,,10/25/2018,,2592,,,,0,1,,,,96.509,0
Normal,,,11/12/2018,,2593,13,,12,4,,,,,1520.702,10
Normal,Mumbai,11/22/2018,2/25/2019,84,2594,87,54,143,105,213,9,1,95,34082.581,56
Normal,,1/5/2019,2/17/2019,28,2595,,,1,68,22,2,1,43,8164.094,26
Normal,,12/7/2018,12/12/2018,0,2596,,,,18,15,5,1,5,4322.63,5
Normal,,,10/29/2018,,2597,2,,3,0,1,,,,493.189,0
Normal,,,12/18/2018,,2598,28,1,31,13,5,,,,873.165,0
Normal,Mumbai,1/10/2019,2/14/2019,28,2599,12,6,19,72,46,28,1,35,15423.171,24
Normal,,,1/20/2019,,2600,46,2,69,6,5,,,,2153.187,10
Normal,,,10/26/2018,,2601,1,,1,0,,,,,186.832,0
Normal,,,,,2602,76,1,85,1,4,,,,2605.497,11
Normal,Mumbai,1/3/2019,,,2603,17,8,33,24,20,3,,,5938.013,22
Normal,Mumbai,11/22/2018,5/2/2019,141,2604,97,8,113,62,42,1,1,161,10149.579,22
Normal,,,10/28/2018,,2605,1,1,2,0,5,,,,396.752,0
Normal,,11/24/2018,1/6/2019,28,2606,58,,57,1,7,,1,43,1967.208,3
Normal,,,5/3/2019,,2607,,,1,0,4,,,,655.211,0
Normal,,,11/2/2018,,2608,4,,3,0,3,,,,1125.567,3
Normal,,,1/15/2019,,2609,70,,71,6,6,1,,,1379.885,3
Normal,Mumbai,3/4/2019,3/17/2019,0,2610,1,,3,26,7,,1,13,3436.455,2
Normal,,1/10/2019,2/14/2019,28,2611,2,,2,72,52,3,1,35,8779.291,24
Normal,,11/24/2018,7/15/2019,225,2612,177,21,201,41,46,2,1,233,8374.304,25
Normal,,11/24/2018,12/12/2018,0,2613,29,1,34,17,67,21,1,18,17035.357,15
Normal,,,10/27/2018,,2614,2,,2,2,,,,,552.452,3
Normal,,,10/24/2018,,2615,1,,1,0,,,,,76.819,0
Normal,,,9/23/2019,,2616,,,,0,,,,,15.256,1
Normal,,,10/26/2018,,2617,1,,1,0,2,,,,203.578,0
Normal,Mumbai,12/31/2018,4/16/2019,84,2618,,,1,68,72,3,1,106,17029.981,31
Normal,,,10/24/2018,,2619,,,,0,,,,,175.574,1
Normal,,,11/19/2018,,2620,,,,1,3,,,,212.822,0
Normal,,,10/25/2018,,2621,1,,1,0,,,,,73.93,0
Normal,,,1/13/2019,,2622,4,1,6,0,3,,,,778.021,0
Normal,Mumbai,1/27/2019,9/20/2019,225,2623,,1,3,70,10,,1,236,5092.376,22
Normal,,1/21/2019,2/7/2019,0,2624,78,5,88,63,41,6,1,17,10989.122,33
Normal,,11/30/2018,12/16/2018,0,2625,6,,6,12,33,1,1,16,10816.886,19
Normal,,,2/27/2019,,2626,89,6,103,5,25,,,,3610.078,0
Normal,,,3/21/2019,,2627,,,,5,4,,,,3254.249,10
Normal,,,3/26/2019,,2628,115,5,129,0,3,,,,1015.521,4
Normal,,,,,2629,,,,5,7,,,,3063.998,10
Normal,,,10/29/2018,,2630,,,,0,4,,,,1826.193,9
Normal,,,10/24/2018,,2631,,,,5,,,,,783.239,0
Normal,,,10/26/2018,,2632,,,,0,,,,,247.289,1
Normal,,,11/3/2018,,2633,1,3,2,6,8,,,,3865.825,12
Normal,,,3/11/2019,,2634,,,,6,2,,,,3626.826,11
Normal,,1/27/2019,1/27/2019,0,2635,,,,15,1,,0,0,1110.818,2
Normal,,,10/26/2018,,2636,,,,0,4,,,,411.125,0
Normal,,,11/9/2018,,2637,,,,0,23,1,,,4751.677,12
Normal,Mumbai,3/30/2019,4/2/2019,0,2638,16,1,18,5,11,1,1,3,2554.063,12
Normal,,11/26/2018,2/24/2019,84,2639,69,2,86,32,51,15,1,90,12710.198,23
Normal,,,,,2640,,,,0,1,,,,147.212,0
Normal,,,,,2641,,,,0,1,,,,187.313,0
Normal,,11/24/2018,12/1/2018,0,2642,7,1,10,17,23,5,1,7,8636.497,14
Normal,,,1/6/2019,,2643,52,3,55,8,15,,,,7503.514,11
Normal,,,10/29/2018,,2644,,,,0,,,,,60.78,0
Normal,,,4/1/2019,,2645,17,,86,0,,,,,179.578,0
Normal,,,10/24/2018,,2646,,,,0,,,,,66.842,0
Normal,,,1/24/2019,,2647,,,,0,,,,,180.327,0
Normal,,,10/24/2018,,2648,,,,0,,,,,137.524,0
Normal,,,11/10/2018,,2649,,,,3,3,,,,421.924,0
Normal,,,12/3/2018,,2650,,,,0,2,,,,709.197,1
Normal,Mumbai,11/24/2018,11/7/2018,-28,2651,79,39,229,82,124,6,0,-17,28829.676,36
Normal,,12/6/2018,12/8/2018,0,2652,1,,1,0,,,1,2,318.894,0
Normal,,,10/24/2018,,2654,,,,0,,,,,94.307,0
Normal,Mumbai,1/12/2019,2/13/2019,28,2655,,,1,58,3,,1,32,2350.836,6
Normal,,,11/19/2018,,2656,,,,11,24,9,,,6221.809,14
Normal,,,11/6/2018,,2657,,,,0,,,,,129.794,0
Normal,,,10/24/2018,,2658,,,,0,,,,,62.204,0
Normal,,,10/24/2018,,2659,,,,0,,,,,49.965,0
Normal,Mumbai,12/29/2018,4/7/2019,84,2660,27,,32,72,46,10,1,99,9466.939,26
Normal,,,11/1/2018,,2661,3,,3,0,2,,,,1196.383,2
Normal,,,10/27/2018,,2662,1,,1,1,,,,,167.744,0
Normal,,,10/29/2018,,2663,1,,1,0,1,,,,351.701,0
Normal,,,10/25/2018,,2664,,,,0,1,,,,365.67,0
Normal,,,10/25/2018,,2665,,,,0,,,,,40.324,0
Normal,,,11/7/2018,,2666,,,,0,,,,,66.613,0
Normal,Mumbai,11/25/2018,2/2/2019,56,2667,505,2,687,90,24,4,1,69,11641.018,53
Normal,,11/24/2018,3/1/2019,84,2668,99,5,106,30,34,2,1,97,8611.85,24
Normal,,,,,2669,539,8,563,0,6,,,,1042.158,3
Normal,,,,,2670,,,,0,1,,,,270.986,0
Normal,,11/23/2018,11/23/2018,0,2671,45,4,70,9,36,8,0,0,10671.478,11
Normal,,,2/22/2019,,2672,,,,0,3,,,,717.688,3
Normal,,11/24/2018,3/2/2019,84,2673,,,,20,64,13,1,98,18351.941,1
Normal,,,,,2674,6,,5,9,9,1,,,3661.671,13
Normal,,11/26/2018,,,2675,18,,21,59,39,6,,,10679.066,33
Normal,,,2/2/2019,,2676,64,1,73,0,1,,,,504.558,1
Normal,,1/9/2019,2/6/2019,0,2677,11,3,15,64,70,6,1,28,15642.103,20
Normal,,,,,2678,40,1,59,0,1,,,,220.212,0
Normal,,12/2/2018,11/22/2018,-28,2679,341,5,522,54,34,,0,-10,12139.707,21
Normal,Other,11/22/2018,2/10/2019,56,2680,,,,36,62,7,1,80,14073.887,19
Normal,,,10/27/2018,,2681,1,,1,0,3,,,,838.057,0
Normal,Mumbai,11/29/2018,5/29/2019,169,2682,,,6,73,289,10,1,181,20145.226,33
Normal,,,12/19/2018,,2683,38,1,41,0,3,,,,628.486,2
Normal,,,11/5/2018,,2684,,,,0,3,,,,1931.758,2
Normal,,11/29/2018,1/10/2019,28,2685,51,2,62,12,17,2,1,42,3950.004,18
Normal,,,12/13/2018,,2686,,,,5,5,,,,1880.107,7
Normal,,,11/24/2018,,2687,,,,0,9,,,,3455.501,15
Normal,,,11/17/2018,,2688,11,1,14,6,6,,,,2224.718,12
Normal,,,12/8/2018,,2689,11,,29,5,12,,,,2982.794,7
Normal,,,10/26/2018,,2690,,,,0,4,,,,434.574,0
Normal,,,,,2691,194,1,401,0,1,,,,164.87,0
Normal,,,,,2692,,,,0,,,,,54.837,0
Normal,,1/14/2019,,,2693,65,4,89,3,11,,,,1435.878,5
Normal,,,7/12/2019,,2694,,,,0,,,,,973.589,6
Normal,,,11/3/2018,,2695,5,,4,0,1,,,,141.176,0
Normal,Mumbai,11/29/2018,4/10/2019,112,2696,132,,135,70,56,16,1,132,14041.382,51
Normal,,,,,2697,54,8,142,0,4,,,,1776.639,9
Normal,,,7/15/2019,,2698,209,1,209,0,3,,,,774.528,3
Normal,Mumbai,11/22/2018,7/25/2019,225,2699,35,1,48,94,140,6,1,245,29936.781,69
Normal,Mumbai,11/26/2018,8/7/2019,253,2700,3,,7,70,83,2,1,254,16719.959,38
Normal,Mumbai,12/16/2018,2/13/2019,56,2701,47,4,57,68,80,2,1,59,13982.48,28
Normal,,12/1/2018,12/14/2018,0,2702,21,1,23,26,41,6,1,13,9810.028,26
Normal,Mumbai,12/29/2018,1/14/2019,0,2703,268,26,420,97,76,4,1,16,17888.737,100
Normal,,,11/10/2018,,2704,7,1,8,5,1,,,,2170.458,10
Normal,,11/22/2018,11/25/2018,0,2705,12,,16,52,19,5,1,3,4078.965,14
Normal,,,,,2706,,,,8,9,3,,,3400.227,9
Normal,,,11/11/2018,,2709,6,,7,0,,,,,112.06,0
Normal,,,10/25/2018,,2710,,,,0,,,,,163.664,0
Normal,,1/27/2019,2/19/2019,0,2711,,,,36,15,,1,23,3352.126,9
Normal,,,10/28/2018,,2712,1,,1,0,2,,,,187.054,0
Normal,,,10/31/2018,,2714,,,,0,,,,,47.102,0
Normal,,,12/1/2018,,2716,19,,19,6,6,,,,2813.912,8
Normal,Mumbai,12/24/2018,4/4/2019,84,2717,33,7,102,45,22,,1,101,6176.809,34
Normal,,1/31/2019,2/12/2019,0,2718,16,,16,20,4,,1,12,1923.68,1
Normal,,11/24/2018,11/13/2018,-28,2719,,,,20,12,,0,-11,5019.469,13
Normal,,11/22/2018,1/27/2019,56,2720,1,,2,63,117,33,1,66,28906.167,38
Normal,,1/17/2019,2/24/2019,28,2721,,,,53,12,4,1,38,6575.842,17
Normal,,,1/2/2019,,2722,53,2,58,0,1,,,,184.779,0
Normal,,12/2/2018,2/24/2019,56,2723,21,,35,10,64,29,1,84,27017.891,18
Normal,,1/9/2019,1/21/2019,0,2724,,,,42,24,3,1,12,9497.347,26
Normal,,,3/2/2019,,2725,109,,109,0,,,,,545.924,2
Normal,Mumbai,11/29/2018,6/12/2019,169,2726,103,39,176,142,71,9,1,195,13715.101,114
Normal,,,10/28/2018,,2727,,,,5,1,,,,912.945,0
Normal,,12/26/2018,1/25/2019,28,2728,1,,5,51,44,2,1,30,12704.753,29
Normal,Mumbai,11/30/2018,11/4/2019,337,2729,353,4,461,69,60,13,1,339,12187.526,22
Normal,,,11/5/2018,,2730,2,,4,3,5,,,,1638.211,1
Normal,Mumbai,11/25/2018,,,2731,282,15,571,27,30,13,,,9606.602,35
Normal,,,10/28/2018,,2732,,,,0,1,,,,445.911,2
Normal,,,12/12/2018,,2733,,,,0,,,,,54.159,0
Normal,,,5/26/2019,,2734,152,1,172,0,,,,,228.099,0
Normal,,,10/30/2018,,2735,,,,0,2,,,,370.165,0
Normal,,,11/7/2018,,2736,,,,0,1,,,,801.023,4
Normal,,,10/31/2018,,2737,1,,2,0,1,,,,130.264,0
Normal,,,10/27/2018,,2738,,,,0,,,,,197.796,0
Normal,Mumbai,11/29/2018,2/28/2019,84,2739,13,4,25,74,246,31,1,91,28353.433,29
Normal,,,10/28/2018,,2740,,,,2,2,,,,836.447,0
Normal,Mumbai,1/3/2019,8/7/2019,197,2741,82,4,104,91,56,15,1,216,30144.629,38
Normal,,11/23/2018,1/31/2019,56,2742,,,,1,15,2,1,69,3727.218,7
Normal,,1/18/2019,8/23/2019,197,2743,1,,1,29,14,5,1,217,6627.809,15
Normal,Mumbai,1/16/2019,10/13/2019,253,2744,97,19,272,71,36,1,1,270,13830.273,38
Normal,,,11/23/2018,,2745,,,1,5,2,,,,2229.189,11
Normal,,,,,2747,,,,0,2,,,,1117,2
Normal,,,1/25/2019,,2748,71,,75,0,1,,,,387.555,0
Normal,,11/29/2018,12/14/2018,0,2749,2,,3,7,23,3,1,15,9835.323,13
Normal,,,,,2750,,,,0,3,,,,2055.539,5
Normal,,,10/28/2018,,2752,,,,0,,,,,166.082,0
Normal,,,11/16/2018,,2753,8,,13,0,1,,,,111.665,0
Normal,Mumbai,12/30/2018,10/4/2019,253,2754,85,33,124,94,181,17,1,278,52223.131,36
Normal,,,10/28/2018,,2755,,,,0,,,,,80.301,0
Normal,Mumbai,11/22/2018,,,2756,62,3,78,77,167,13,,,34529.296,39
Normal,,,11/4/2018,,2757,,,,3,4,,,,2627.153,6
Normal,,,11/6/2018,,2758,4,,4,5,,,,,652.701,0
Normal,,,11/1/2018,,2759,,,,6,1,,,,2041.693,5
Normal,,,6/4/2019,,2760,15,1,17,1,5,,,,1433.389,3
Normal,Mumbai,12/11/2018,2/26/2019,56,2761,6,11,18,71,42,,1,77,9687.243,24
Normal,,,10/29/2018,,2762,,,,0,,,,,312.931,0
Normal,,,10/31/2018,,2763,1,,1,5,1,,,,1747.755,11
Normal,,,10/30/2018,,2764,,1,1,0,1,,,,134.82,0
Normal,,,11/22/2018,,2767,6,,16,0,,,,,145.949,0
Normal,Mumbai,11/26/2018,7/20/2019,225,2768,74,2,86,132,200,11,1,236,44679.265,73
Normal,Mumbai,12/1/2018,5/28/2019,169,2769,55,89,147,106,220,15,1,178,48109.04,61
Normal,,12/7/2018,1/31/2019,28,2770,5,1,6,34,13,10,1,55,3448.996,11
Normal,Mumbai,1/28/2019,2/13/2019,0,2771,7,,7,61,1,,1,16,1661.517,3
Normal,,,,,2772,,,2,0,1,,,,727.653,0
Normal,Mumbai,11/25/2018,3/16/2019,84,2773,50,10,81,93,143,19,1,111,28784.183,50
Normal,Mumbai,11/25/2018,7/7/2019,197,2775,19,4,23,92,48,1,1,224,12321.647,36
Normal,,,11/15/2018,,2776,7,,11,0,,,,,950.881,4
Normal,Mumbai,12/24/2018,,,2778,,,5,85,123,32,,,26365.146,36
Normal,Mumbai,11/22/2018,11/19/2018,-28,2779,39,10,49,93,62,7,0,-3,10745.099,33
Normal,,1/6/2019,1/15/2019,0,2780,,,1,41,10,,1,9,6188.87,24
Normal,,11/25/2018,12/14/2018,0,2781,,,,44,53,15,1,19,7680.004,17
Normal,,11/23/2018,4/18/2019,141,2782,140,2,143,28,33,3,1,146,7585.762,16
Normal,Mumbai,1/5/2019,5/2/2019,112,2783,93,,92,59,16,11,1,117,6373.341,31
Normal,,,10/30/2018,,2784,,,,0,,,,,378.441,1
Normal,,,11/16/2018,,2785,10,,11,0,1,,,,621.02,0
Normal,,11/23/2018,11/2/2018,-28,2786,108,9,117,22,32,2,0,-21,4551.691,15
Normal,,,12/4/2018,,2787,9,4,13,0,14,3,,,3167.251,10
Normal,,,,,2788,132,4,136,0,24,,,,1988.179,0
Normal,Mumbai,11/22/2018,2/22/2019,84,2789,80,27,107,107,175,10,1,92,20290.659,53
Normal,Mumbai,11/24/2018,11/29/2018,0,2790,12,9,21,70,61,5,1,5,8305.309,24
Normal,,11/27/2018,3/3/2019,84,2791,71,1,103,10,13,,1,96,2865.485,9
Normal,Mumbai,11/22/2018,5/4/2019,141,2792,22,3,26,66,77,6,1,163,12340.12,30
Normal,,,11/14/2018,,2793,,,,1,,2,,,113.645,0
Normal,,,12/25/2018,,2794,40,2,46,0,2,,,,336.655,0
Normal,,1/15/2019,1/20/2019,0,2795,,,2,50,29,13,1,5,8564.822,23
Normal,,11/22/2018,,,2796,2,1,4,59,44,1,,,11928.904,35
Normal,,,11/6/2018,,2797,3,,4,0,,3,,,420.65,0
Normal,,11/29/2018,,,2798,35,3,42,11,12,8,,,6403.585,14
Normal,,12/4/2018,,,2799,79,10,103,12,16,,,,4679.281,12
Normal,,12/10/2018,2/9/2019,56,2800,,,5,63,106,26,1,61,24062.226,24
Normal,,11/23/2018,1/16/2019,28,2801,12,24,41,51,108,10,1,54,26948.747,39
Normal,,,,,2802,1,,1,0,,,,,63.825,0
Normal,,1/26/2019,4/15/2019,56,2803,130,,132,22,1,,1,79,761.732,0
Normal,Delhi,12/16/2018,,,2804,,,,0,6,1,,,473.193,0
Normal,,,11/6/2018,,2805,3,,3,0,,,,,110.267,0
Normal,Mumbai,11/22/2018,1/27/2019,56,2806,138,7,204,81,34,14,1,66,12476.153,53
Normal,,,12/30/2018,,2807,,,1,0,1,,,,293.935,0
Normal,,,2/16/2019,,2810,,,,0,1,,,,81.395,0
Normal,,11/28/2018,1/9/2019,28,2811,,1,1,40,23,2,1,42,5899.125,20
Normal,,1/22/2019,2/1/2019,0,2812,15,,23,61,3,,1,10,3772.435,15
Normal,,,11/20/2018,,2813,13,,14,5,2,,,,411.17,0
Normal,,11/27/2018,2/5/2019,56,2814,,,,34,15,2,1,70,7946.435,24
Normal,,12/5/2018,2/1/2019,56,2817,,,,14,17,1,1,58,2135.547,14
