Acquired Medium google / others,C Ity,Reg at date,Uninstall Date,Usage Days (bin),User ID,Notification Dismiss,Notification Open,Notification Receive,Quiz Count,Session Count,Share Count,Uninstalled,Usage Time,Usertime,Video Count
Normal,,,12/4/2018,,2048,,,,0,1,,,,167.534,0
Normal,Mumbai,2/16/2019,6/14/2019,112,2049,395,45,599,57,67,5,1,118,9988.636,22
Normal,,11/27/2018,2/1/2019,56,2050,36,20,56,16,22,,1,66,4844.823,16
Normal,,,4/10/2019,,2051,2,,3,5,9,,,,808.806,1
Normal,,,11/6/2018,,2052,,1,2,3,5,,,,985.514,1
Normal,,11/23/2018,,,2053,46,,46,85,18,7,,,6490.338,46
Normal,,,,,2055,12,10,22,3,21,1,,,4252.787,7
Normal,Mumbai,12/5/2018,7/9/2019,197,2056,194,,268,73,41,2,1,216,7997.27,27
Normal,Mumbai,1/27/2019,2/24/2019,0,2057,15,,14,71,25,1,1,28,8679.351,30
Normal,,,5/24/2019,,2058,164,,188,0,5,,,,345.027,0
Normal,,,9/29/2018,,2059,,,,0,,,,,247.571,1
Normal,,11/27/2018,5/25/2019,169,2060,1,2,7,62,102,1,1,179,17712.7,31
Normal,,,,,2061,1,,9,0,1,,,,659.529,1
Normal,,,3/14/2019,,2064,76,,80,0,11,,,,1271.004,2
Normal,Mumbai,2/2/2019,5/7/2019,84,2065,,,,66,8,1,1,94,4196.428,13
Normal,,,,,2066,7,,7,0,,,,,464.631,2
Normal,Mumbai,6/18/2019,6/21/2019,0,2068,,,,0,3,,1,3,1261.27,1
Normal,,,9/26/2018,,2069,2,,2,0,,,,,162.091,1
Normal,Mumbai,11/24/2018,4/21/2019,141,2070,58,93,159,136,129,,1,148,21886.703,90
Normal,,,11/23/2018,,2071,,,,0,,,,,217.048,0
Normal,,,,,2072,1,,1,0,1,,,,394.378,0
Normal,Mumbai,11/27/2018,9/11/2019,281,2073,99,38,165,158,164,15,1,288,70608.383,59
Normal,,,11/19/2018,,2074,11,1,23,0,13,,,,1905.061,6
Normal,Mumbai,12/1/2018,8/12/2019,253,2081,3,,5,69,87,6,1,254,14665.707,36
Normal,Mumbai,11/27/2018,7/10/2019,225,2082,3,1,13,96,74,8,1,225,23421.65,66
Normal,,,,,2083,28,5,45,0,7,,,,738.688,0
Normal,,11/22/2018,11/26/2018,0,2084,,,1,0,32,,1,4,6120.974,15
Normal,Mumbai,11/22/2018,7/25/2019,225,2085,1,2,6,123,249,36,1,245,45959.489,86
Normal,,,9/30/2018,,2086,1,,1,0,5,,,,511.556,0
Normal,Mumbai,1/20/2019,,,2089,296,2,628,62,51,6,,,10361.595,35
Normal,,11/28/2018,,,2094,19,1,47,0,9,,,,877.281,0
Normal,Mumbai,11/26/2018,4/28/2019,141,2096,53,38,104,92,171,19,1,153,33907.87,37
Normal,Mumbai,11/28/2018,,,2098,35,3,604,50,16,5,,,3943.183,13
Normal,Pune,6/22/2019,6/22/2019,0,2099,2,1,3,0,4,2,0,0,1085.856,1
Normal,,1/9/2019,,,2100,,,,1,7,,,,1050.79,2
Normal,,,11/20/2018,,2101,25,,23,0,1,,,,199.977,1
Normal,,11/26/2018,11/23/2018,-28,2102,37,18,55,118,42,,0,-3,10682.428,67
Normal,,,,,2103,11,,11,0,10,,,,2364.874,5
Normal,Mumbai,6/19/2019,6/21/2019,0,2104,,,,0,2,,1,2,668.275,0
Normal,,,10/10/2018,,2105,,,,0,5,,,,867.686,0
Normal,Mumbai,1/9/2019,,,2106,264,23,422,105,55,7,,,15357.857,31
Normal,Mumbai,1/23/2019,,,2108,,,,33,8,3,,,3678.597,12
Normal,,,11/15/2018,,2109,21,2,22,1,4,,,,361.625,0
Normal,,,5/5/2019,,2110,,,,0,2,,,,447.793,0
Normal,,,10/31/2018,,2111,1,,1,0,1,,,,251.57,0
Normal,,11/27/2018,10/15/2019,309,2112,22,1,29,47,45,3,1,322,16348.237,29
Normal,Mumbai,6/25/2019,6/27/2019,0,2113,,,2,17,20,,1,2,5708.751,27
Normal,,11/23/2018,11/22/2018,-28,2114,10,11,20,23,56,7,0,-1,7970.272,19
Normal,,1/21/2019,1/31/2019,0,2119,38,,38,31,8,,1,10,2301.988,4
Normal,,1/22/2019,3/4/2019,28,2121,16,18,42,49,43,14,1,41,11441.04,30
Normal,,,,,2123,504,4,671,0,5,,,,771.913,0
Normal,,,2/7/2019,,2124,92,1,104,0,4,,,,557.314,0
Normal,Mumbai,11/22/2018,6/16/2019,197,2125,151,21,177,95,74,8,1,206,25130.802,64
Normal,,,12/30/2018,,2126,17,,29,0,1,,,,249.494,0
Normal,,,1/30/2019,,2127,,,,0,10,,,,1866.403,1
Normal,,,,,2128,6,,6,0,,,,,172.421,0
Normal,,,,,2129,,,,0,5,,,,1162.146,1
Normal,,,9/26/2018,,2132,224,2,302,0,9,,,,679.424,0
Normal,Mumbai,1/9/2019,7/3/2019,169,2133,7,,10,53,14,,1,175,10236.888,21
Normal,,,10/25/2018,,2135,,,,0,1,,,,562.902,1
Normal,,,,,2136,5,,6,0,5,,,,851.515,3
Normal,,,10/14/2018,,2137,4,1,5,0,2,,,,554.949,1
Normal,,,10/23/2018,,2138,,,,0,1,,,,141.068,0
Normal,,,10/13/2018,,2139,4,,2,0,2,,,,373.391,0
Normal,,,,,2140,5,,5,0,1,,,,168.578,0
Normal,,,10/3/2018,,2141,1,,1,0,,,,,355.927,1
Normal,,1/11/2019,,,2142,,,,25,16,,,,4787.864,7
Normal,,,9/27/2018,,2143,,,,0,,,,,97.567,0
Normal,,1/10/2019,11/28/2018,-56,2144,,,,13,10,1,0,-43,2612.783,4
Normal,,,9/27/2018,,2149,,,,0,,,,,99.412,0
Normal,,,3/5/2019,,2151,,,,0,5,,,,1911.149,7
Normal,Mumbai,11/28/2018,6/13/2019,197,2154,169,20,195,93,48,4,1,197,13907.518,46
Normal,Mumbai,11/25/2018,3/21/2019,112,2155,102,,110,56,46,1,1,116,8125.992,23
Normal,,,10/26/2018,,2156,6,,10,0,1,,,,454.25,0
Normal,,,11/14/2018,,2158,12,5,16,0,18,,,,3473.011,5
Normal,,11/23/2018,10/12/2018,-56,2159,50,3,51,33,28,,0,-42,5083.728,19
Normal,,,12/24/2018,,2160,27,,52,0,,,,,104.498,0
Normal,,,10/5/2018,,2161,2,,2,0,1,,,,1508.461,5
Normal,,,7/25/2019,,2162,,,,0,13,,,,999.475,1
Normal,,,9/24/2019,,2163,104,,119,0,,,,,189.331,0
Normal,,,11/19/2018,,2164,13,,15,0,1,,,,473.137,2
Normal,,,10/2/2018,,2165,1,,1,0,1,,,,273.595,0
Normal,,,9/28/2018,,2166,,,,0,,,,,343.729,0
Normal,,,3/31/2019,,2167,,,,5,4,,,,2079.176,10
Normal,,,11/6/2018,,2168,5,,7,4,,,,,1064.734,0
Normal,,11/28/2018,12/2/2018,0,2169,,,,0,2,,1,4,706.462,1
Normal,,,10/6/2018,,2170,2,1,3,0,4,,,,604.465,0
Normal,,11/23/2018,11/18/2018,-28,2171,23,2,26,18,42,10,0,-5,5086.906,0
Normal,,11/23/2018,10/23/2018,-56,2172,26,,26,10,32,1,0,-31,8077.652,14
Normal,,,10/1/2018,,2173,,,1,0,,,,,212.603,0
Normal,,11/23/2018,10/1/2018,-56,2174,7,23,31,10,28,1,0,-53,2636.374,5
