Usage Days (bin),Acquired Medium google / others,C Ity,Reg at date,Uninstall Date,User ID,User ID (bin),Notification Dismiss,Notification Open,Notification Receive,Quiz Count,Session Count,Share Count,Usage Time,Usertime,Video Count
0,Normal,Mumbai,11/26/2018,12/21/2018,3064,2997,3,1,5,74,154,29,25,21000.638,37
0,Normal,,11/29/2018,11/29/2018,3065,2997,,,,11,12,3,0,6534.049,14
0,Normal,,12/8/2018,1/2/2019,3083,3078,,,,21,25,5,25,5498.16,4
0,Normal,,1/12/2019,1/30/2019,3091,3078,3,,3,54,5,,18,1783.244,0
0,Normal,,11/23/2018,12/4/2018,3092,3078,3,1,4,17,13,3,11,4117.345,16
0,Normal,Mumbai,11/23/2018,12/1/2018,3101,3078,,,1,25,31,4,8,7661.514,26
0,Normal,Mumbai,11/22/2018,12/4/2018,3106,3078,12,3,15,101,51,1,12,9921.473,47
0,Normal,Mumbai,11/21/2018,11/28/2018,3107,3078,5,,5,82,29,3,7,8721.043,36
0,Normal,,11/25/2018,12/1/2018,3109,3078,,,,18,6,1,6,1418.272,0
0,Normal,,11/23/2018,11/23/2018,3154,3078,5,1,5,11,4,,0,708.463,1
0,Normal,,12/3/2018,12/3/2018,3158,3078,11,,11,3,5,,0,1958.842,8
0,Normal,Mumbai,12/15/2018,1/12/2019,3161,3159,,,,25,6,9,28,3516.254,15
0,Normal,,11/23/2018,12/2/2018,3164,3159,7,1,9,18,23,2,9,4045.055,1
0,Normal,,1/12/2019,1/12/2019,3169,3159,1,,2,8,9,,0,2096.916,3
0,Normal,,1/11/2019,1/21/2019,3170,3159,3,,5,57,15,19,10,4747.013,17
0,Normal,,1/8/2019,1/19/2019,3185,3159,,,,1,1,,11,975.359,6
0,Normal,,11/23/2018,11/26/2018,3189,3159,,,,8,4,,3,3272.792,3
0,Normal,,1/12/2019,1/12/2019,3191,3159,2,,2,13,19,11,0,6452.141,6
0,Normal,,12/1/2018,12/1/2018,3192,3159,,,,20,12,1,0,3641.217,4
0,Normal,,12/19/2018,1/10/2019,3193,3159,,,,3,,,22,457.952,1
0,Normal,,12/29/2018,1/14/2019,3195,3159,21,,21,34,14,5,16,4718.208,11
0,Normal,,11/23/2018,12/1/2018,3206,3159,6,2,9,15,22,3,8,4660.504,15
0,Normal,,11/23/2018,11/28/2018,3209,3159,1,,8,13,4,1,5,3464.843,15
0,Normal,,1/12/2019,1/12/2019,3222,3159,1,,2,58,10,1,0,3606.51,20
0,Normal,,11/23/2018,11/30/2018,3223,3159,,,,3,5,,7,1495.92,6
0,Normal,,1/14/2019,2/6/2019,3258,3240,1,,1,69,9,1,23,8115.079,28
0,Normal,,11/22/2018,11/24/2018,3230,3159,4,,5,10,13,5,2,4375.248,10
0,Normal,,11/22/2018,12/3/2018,3256,3240,,,,60,47,10,11,16118.086,38
0,Normal,,11/22/2018,11/25/2018,3249,3240,8,3,18,26,77,14,3,29653.305,8
0,Normal,Mumbai,11/24/2018,12/20/2018,3236,3159,10,,15,36,21,1,26,3428.576,11
